ax,ay,az,gx,gy,gz,label
-0.07862900,-0.07234600,0.32897300,-0.03067974,-0.11787830,-0.09664902,1
0.02702300,0.13517600,0.21252400,-0.08271276,0.01075230,0.04062968,1
0.12724600,0.04087000,-0.54534000,-0.04906616,0.07454642,0.17079998,1
0.00951600,0.05380200,-0.92622400,-0.05749952,0.10546172,-0.43877574,1
-0.00646600,0.91872100,0.43005000,-0.14673360,0.14408862,0.58832618,1
-0.11297200,-0.48610900,-1.04035500,0.08854924,0.12480442,-0.65535522,1
0.10937300,0.02812100,-0.35190900,-0.43849130,-0.30450990,0.46128238,1
0.05307000,-0.14322800,0.25132000,-0.55384420,-0.25864360,1.20891992,1
0.01683600,0.11217900,-0.05520500,0.18983978,0.06384430,-1.60039048,1
0.04221200,0.04428600,0.05990200,-0.02410564,0.05493280,0.12310428,1
-0.07716500,-0.09790500,0.27712300,0.01517490,-0.02968340,-1.01866206,1
0.03452600,-0.03995500,-0.04355400,0.13769522,0.06343090,-0.48057568,1
0.11882800,0.00762500,0.29371500,0.01547182,0.26495742,0.53067716,1
0.10662800,0.02257000,-0.17403300,0.12892464,0.00026078,-1.09097508,1
-0.00603900,-0.01372500,0.19550500,-0.15763566,1.03246572,0.77928734,1
-0.07722600,-0.08607100,0.15353700,0.04382430,1.12452054,-0.16196258,1
0.10980000,0.01714100,0.15524500,0.27074190,-0.08752410,0.02170818,1
0.10339500,0.07063800,-0.05605900,0.06709482,0.10946468,0.19897956,1
-0.12456200,0.05343600,0.02470500,0.21720244,-0.01894200,-0.12631554,1
-0.00378200,0.02019100,-0.03001200,0.03598608,-0.07944560,0.23881624,1
0.02074000,-0.05788900,0.17098300,-0.07839130,-0.04147680,-0.15606682,1
-0.03727100,0.03623400,-0.10156500,0.18235724,0.09664512,0.48004892,1
-0.02049600,-0.03714900,0.11748600,0.10626512,0.19155188,-0.31511298,1
0.03220800,0.00353800,-0.18806300,0.06988618,-0.21201750,0.14663610,1
-0.06935700,0.10028400,-0.66636400,0.09165676,-0.05247140,0.02407834,1
0.01305400,0.01250500,0.24827000,-0.00290082,0.01225094,-0.12121018,1
-0.01317600,-0.11339900,-0.05063000,0.05885880,-0.03154610,0.36212566,1
-0.10126000,-0.20087300,0.41040800,-0.01926314,-0.02118660,-0.07210918,1
0.10803100,-0.19715200,0.27523200,-0.13159224,0.18282888,0.00840606,1
0.11516800,0.00225700,-0.73706300,-0.08608262,0.20239180,0.11714976,1
0.00146400,-0.10931200,0.25119800,-0.07891468,-0.14654280,-0.06773728,1
-0.04270000,-0.11156900,-0.00786900,-0.01442168,-0.02100570,-0.17429334,1
-0.00555100,0.05404600,-0.05490000,0.04919564,0.14981720,1.98832452,1
0.03464800,0.02781600,-0.20782700,0.03264482,0.17243512,-0.09488388,1
-0.04764100,-0.02952400,0.27779400,0.03480802,0.05530616,0.53728662,1
0.00689300,0.00524600,0.13468800,-0.00072176,0.01316302,-1.43625768,1
0.16732300,0.21728200,-0.04056500,0.05011916,0.04470128,-0.88556806,1
-0.02543700,-0.16024700,0.38186000,0.02511808,0.00747682,-1.04727324,1
-0.02391200,-0.18336600,0.05795000,0.01178034,0.00619138,-1.01702406,1
-0.06856400,-0.01320000,0.32811900,-0.00763308,0.05035000,-0.92297374,1
-0.03214700,0.05582000,-0.12840500,0.00124852,-0.08760000,-1.18800032,1
-0.01750700,-0.05900000,0.29060400,-0.22392838,0.19037000,0.98925398,1
0.00744200,-0.22880000,0.46744300,-0.68162874,-0.16250000,0.72744724,1
0.06319600,0.07985000,0.14749800,-0.19702800,0.14168000,1.62338878,1
-0.08979200,-0.26070000,0.31976200,0.31288348,0.31535000,0.18121454,1
-0.00006100,-0.19140000,-0.02257000,-0.02389270,-0.68330000,-0.94598660,1
-0.04654300,0.04185000,-0.28047800,0.16060694,0.15145000,-0.18263128,1
-0.08302100,-0.07220000,0.31134400,0.47451586,0.09083000,-0.27071096,1
-0.10516400,0.00567000,-0.79080400,0.02552680,-0.54090000,1.12560760,1
-0.23295900,-0.02450000,-0.29969300,-0.04406922,-0.17720000,-0.24380304,1
0.05172800,0.18129000,-0.97575600,0.14604200,-0.28130000,0.62469810,1
0.02537600,0.08070000,-0.89487000,-0.02049268,0.11316000,0.86167614,1
0.21215800,0.39382000,0.18080400,0.00061178,0.04499000,-1.05163786,1
-0.06984500,-0.01620000,0.93769200,0.07274046,-0.02510000,-0.99861060,1
-0.02482700,-0.03510000,-0.73779500,0.03509974,0.05017000,-0.36352212,1
-0.03714900,-0.12230000,-1.03358400,-0.05136014,-0.13160000,1.13755486,1
-0.22106400,-0.18710000,0.02549800,-0.03194854,0.04953000,0.06245434,1
-0.01988600,0.13194000,0.06649000,0.01292434,-0.07200000,-0.01716884,1
0.00671000,0.04008000,0.45963500,0.11051300,0.06484000,0.33778056,1
0.03233000,0.05222000,0.03489200,-0.01025206,0.09700000,-0.53440764,1
0.05642500,-0.01340000,0.06350100,-0.16679468,-0.03750000,-0.15875496,1
0.05136200,0.01568000,-0.24595200,-0.01580462,0.08745000,0.50702210,1
-0.17159300,-0.12810000,0.03867400,0.08585252,-0.18530000,-0.42976284,1
0.07472500,0.02001000,-0.17744900,-0.00100906,-0.08100000,0.13692198,1
-0.16909200,-0.24450000,0.16720100,0.00461110,0.17959000,0.12303122,1
0.29084800,-0.41000000,0.43938300,-0.13482378,-0.11070000,-0.16161288,1
0.06990600,0.11499000,-0.89316200,0.01760122,0.05524000,0.09399728,1
