ax;a y;az;gx;gy;gz;Label
-0.078629;-0.072346;0.328973;-0.03067974;-0.1178783;-0.09664902;1
0.027023;0.135176;0.212524;-0.08271276;0.0107523;0.04062968;1
0.127246;0.04087;-0.54534;-0.04906616;0.07454642;0.17079998;1
0.009516;0.053802;-0.926224;-0.05749952;0.10546172;-0.43877574;1
-0.006466;0.918721;0.43005;-0.1467336;0.14408862;0.58832618;1
-0.112972;-0.486109;-1.040.355;0.08854924;0.12480442;-0.65535522;1
0.109373;0.028121;-0.351909;-0.4384913;-0.3045099;0.46128238;1
0.05307;-0.143228;0.25132;-0.5538442;-0.2586436;120.891.992;1
0.016836;0.112179;-0.055205;0.18983978;0.0638443;-160.039.048;1
0.042212;0.044286;0.059902;-0.02410564;0.0549328;0.12310428;1
-0.077165;-0.097905;0.277123;0.0151749;-0.0296834;-101.866.206;1
0.034526;-0.039955;-0.043554;0.13769522;0.0634309;-0.48057568;1
0.118828;0.007625;0.293715;0.01547182;0.26495742;0.53067716;1
0.106628;0.02257;-0.174033;0.12892464;0.00026078;-109.097.508;1
-0.006039;-0.013725;0.195505;-0.15763566;103.246.572;0.77928734;1
-0.077226;-0.086071;0.153537;0.0438243;112.452.054;-0.16196258;1
0,7625;0.017141;0.155245;0.2707419;-0.0875241;0.02170818;1
0.103395;0.070638;-0.056059;0.06709482;0.10946468;0.19897956;1
-0.124562;0.053436;0.024705;0.21720244;-0.018942;-0.12631554;1
-0.003782;0.020191;-0.030012;0.03598608;-0.0794456;0.23881624;1
0.02074;-0.057889;0.170983;-0.0783913;-0.0414768;-0.15606682;1
-0.037271;0.036234;-0.101565;0.18235724;0.09664512;0.48004892;1
-0.020496;-0.037149;0.117486;0.10626512;0.19155188;-0.31511298;1
0.032208;0.003538;-0.188063;0.06988618;-0.2120175;0.1466361;1
-0.069357;0.100284;-0.666364;0.09165676;-0.0524714;0.02407834;1
0.013054;0.012505;0.24827;-0.00290082;0.01225094;-0.12121018;1
-0.013176;-0.113399;-0.05063;0.0588588;-0.0315461;0.36212566;1
-0.10126;-0.200873;0.410408;-0.01926314;-0.0211866;-0.07210918;1
0.108031;-0.197152;0.275232;-0.13159224;0.18282888;0.00840606;1
0.115168;0.002257;-0.737063;-0.08608262;0.2023918;0.11714976;1
0.001464;-0.109312;0.251198;-0.07891468;-0.1465428;-0.06773728;1
-0.0427;-0.111569;-0.007869;-0.01442168;-0.0210057;-0.17429334;1
-0.005551;0.054046;-0.0549;0.04919564;0.1498172;198.832.452;1
0.034648;0.027816;-0.207827;0.03264482;0.17243512;-0.09488388;1
-0.105164;-0.133041;0.117364;0.04072458;0.10822786;-138.228.714;1
-0.047641;-0.029524;0.277794;0.03480802;0.05530616;0.53728662;1
0.006893;0.005246;0.134688;-0.00072176;0.01316302;-143.625.768;1
0.167323;0.217282;-0.040565;0.05011916;0.04470128;-0.88556806;1
-0.025437;-0.160247;0.38186;0.02511808;0.00747682;-104.727.324;1
-0.023912;-0.183366;0.05795;0.01178034;0.00619138;-101.702.406;1
-0.068564;-0.0132;0.328119;-0.00763308;0.05035;-0.92297374;1
-0.032147;0.05582;-0.128405;0.00124852;-0.0876;-118.800.032;1
-0.017507;-0.059;0.290604;-0.22392838;0.19037;0.98925398;1
0.007442;-0.2288;0.467443;-0.68162874;-0.1625;0.72744724;1
0.063196;0.07985;0.147498;-0.197028;0.14168;162.338.878;1
-0.089792;-0.2607;0.319762;0.31288348;0.31535;0.18121454;1
-0.000061;-0.1914;-0.02257;-0.0238927;-0.6833;-0.9459866;1
-0.046543;0.04185;-0.280478;0.16060694;0.15145;-0.18263128;1
-0.083021;-0.0722;0.311344;0.47451586;0.09083;-0.27071096;1
-0.105164;0.00567;-0.790804;0.0255268;-0.5409;11.256.076;1
-0.232959;-0.0245;-0.299693;-0.04406922;-0.1772;-0.24380304;1
0.051728;0.18129;-0.975756;0.146042;-0.2813;0.6246981;1
0.025376;0,560416667;-0.89487;-0.02049268;0.11316;0.86167614;1
0.212158;0.39382;0.180804;0.00061178;0.04499;-105.163.786;1
-0.069845;-0.0162;0.937692;0.07274046;-0.0251;-0.9986106;1
-0.024827;-0.0351;-0.737795;0.03509974;0.05017;-0.36352212;1
-0.037149;-0.1223;-1.033.584;-0.05136014;-0.1316;113.755.486;1
-0.221064;-0.1871;0.025498;-0.03194854;0.04953;0.06245434;1
-0.019886;0.13194;0.06649;0.01292434;-0.072;-0.01716884;1
0.00671;0.04008;0.459635;0.110513;0.06484;0.33778056;1
-0.013176;-0.0919;0.557967;0.03520504;0.22423;-0.14189526;1
-0.045811;0.03538;-0.095404;-0.08666918;0.16095;0.60101392;1
0.03233;0.05222;0.034892;-0.01025206;0.097;-0.53440764;1
0.056425;-0.0134;0.063501;-0.16679468;-0.0375;-0.15875496;1
0.051362;0.01568;-0.245952;-0.01580462;0.08745;0.5070221;1
-0.171593;-0.1281;0.038674;0.08585252;-0.1853;-0.42976284;1
0.074725;0.02001;-0.177449;-0.00100906;-0.081;0.13692198;1
-0.169092;-0.2445;0.167201;0.0046111;0.17959;0.12303122;1
0.290848;-0.41;0.439383;-0.13482378;-0.1107;-0.16161288;1
0.069906;0.11499;-0.893162;0.01760122;0.05524;0.09399728;1
0.001647;0.02019;-0.82594;0.07387146;0.01369;-0.10764208;1
0.00061;0.0086;-0.783179;-0.0046956;-0.0499;0.10638966;1
0.00183;0.00641;-0.760792;0.03577782;-0.0616;0.01194518;1
-0.001769;0.0061;-0.746396;-0.02576678;-0.037;-0.10016214;1
0.842776;0.72761;1.051.457;-0.05032924;0.14482;0.26977236;1
-0.23363;-0.6934;-0.925126;-0.03461718;-0.0616;-0.09743006;1
0.112667;0.61525;-0.697474;0.03078816;0.12801;-0.00932698;1
0.406321;-0.0961;-1.243.363;0.00153192;-0.0934;0.10578594;1
-0.179584;-0.446;-0.155367;-0.03650946;-0.0975;-0.14850108;1
-0.108397;-0.1785;-0.033733;0.04216862;1,976388889;0.28357758;1
0.02867;-0.003233;0.099308;0.02255604;-0.1845493;-0.05810766;0
0.015738;-0.060085;-0.024522;0.0318877;-0.2018944;0.0311454;0
-0.118401;-0.039101;0.153964;-0.00262262;-0.1885783;-0.08047884;0
-0.045689;-0.018605;-0.129137;-0.0556647;-0.1255418;0.06188312;0
0.099796;-0.027389;-0.236741;0.0249639;-0.1139154;-0.0077441;0
0.070943;0.016592;0.107116;-0.03269578;-0.1274806;-0.05779176;0
-0.526552;0.82716;-0.732;-0.02081118;-0.1863334;0.15623998;0
0.099674;-0.109373;-0.697169;-0.02119832;-0.4445259;-0.11353576;0
0.012261;-0.275415;-0.465491;-0.03362528;-0.175538;0.07726134;0
-0.333975;0.177022;-0.34099;0.01936246;-0.0159929;0.00816218;0
0.17019;-0.157014;-0.549976;-0.00867542;-0.0706846;-0.03333382;0
0.031842;0.127368;-0.088511;0.07077382;0.19114186;0.15192788;0
-0.061793;-0.063623;0.220271;-0.03606876;-0.1683776;-0.15927652;0
0.104432;0.005002;0.059414;-0.03055702;-0.1724975;0.10731006;0
